[ 2026-02-08 01:00:28,907 ] 25 root - INFO - Initiating data ingestion
[ 2026-02-08 01:00:39,245 ] 65 root - INFO - Performed train test split on the dataframe
[ 2026-02-08 01:00:39,246 ] 67 root - INFO - Exited split_data_as_train_test method of Data_Ingestion class
[ 2026-02-08 01:00:39,246 ] 75 root - INFO - Exporting train and test file path.
[ 2026-02-08 01:00:39,359 ] 84 root - INFO - Exported train and test file path.
[ 2026-02-08 01:00:39,360 ] 27 root - INFO - data Initiation completed
[ 2026-02-08 01:00:39,374 ] 30 root - INFO - Initiate the data Validation
[ 2026-02-08 01:00:39,423 ] 31 root - INFO - Required number of columns : 2
[ 2026-02-08 01:00:39,424 ] 32 root - INFO - Data frane has columns : 31
[ 2026-02-08 01:00:39,425 ] 31 root - INFO - Required number of columns : 2
[ 2026-02-08 01:00:39,425 ] 32 root - INFO - Data frane has columns : 31
[ 2026-02-08 01:00:39,689 ] 32 root - INFO - data Validation Completed
